ID	差值(647-ID)	M值(差值×1.5)	舍弃小数后的M	火堆点击总次数	门方向
1	973	向左开
2	971	向左开
3	970	向左开
4	968	向左开
5	967	向左开
6	965	向左开
7	964	向左开
8	962	向左开
9	961	向左开
10	959	向左开
11	958	向左开
12	956	向左开
13	955	向左开
14	953	向左开
15	952	向左开
16	950	向左开
17	949	向左开
18	947	向左开
19	946	向左开
20	944	向左开
21	943	向左开
22	941	向左开
23	940	向左开
24	938	向左开
25	937	向左开
26	935	向左开
27	934	向左开
28	932	向左开
29	931	向左开
30	929	向左开
31	928	向左开
32	926	向左开
33	925	向左开
34	923	向左开
35	922	向左开
36	920	向左开
37	919	向左开
38	917	向左开
39	916	向左开
40	914	向左开
41	913	向左开
42	911	向左开
43	910	向左开
44	908	向左开
45	907	向左开
46	905	向左开
47	904	向左开
48	902	向左开
49	901	向左开
50	899	向左开
51	898	向左开
52	896	向左开
53	895	向左开
54	893	向左开
55	892	向左开
56	890	向左开
57	889	向左开
58	887	向左开
59	886	向左开
60	884	向左开
61	883	向左开
62	881	向左开
63	880	向左开
64	878	向左开
65	877	向左开
66	875	向左开
67	874	向左开
68	872	向左开
69	871	向左开
70	869	向左开
71	868	向左开
72	866	向左开
73	865	向左开
74	863	向左开
75	862	向左开
76	860	向左开
77	859	向左开
78	857	向左开
79	856	向左开
80	854	向左开
81	853	向左开
82	851	向左开
83	850	向左开
84	848	向左开
85	847	向左开
86	845	向左开
87	844	向左开
88	842	向左开
89	841	向左开
90	839	向左开
91	838	向左开
92	836	向左开
93	835	向左开
94	833	向左开
95	832	向左开
96	830	向左开
97	829	向左开
98	827	向左开
99	826	向左开
100	824	向左开
101	823	向左开
102	821	向左开
103	820	向左开
104	818	向左开
105	817	向左开
106	815	向左开
107	814	向左开
108	812	向左开
109	811	向左开
110	809	向左开
111	808	向左开
112	806	向左开
113	805	向左开
114	803	向左开
115	802	向左开
116	800	向左开
117	799	向左开
118	797	向左开
119	796	向左开
120	794	向左开
121	793	向左开
122	791	向左开
123	790	向左开
124	788	向左开
125	787	向左开
126	785	向左开
127	784	向左开
128	782	向左开
129	781	向左开
130	779	向左开
131	778	向左开
132	776	向左开
133	775	向左开
134	773	向左开
135	772	向左开
136	770	向左开
137	769	向左开
138	767	向左开
139	766	向左开
140	764	向左开
141	763	向左开
142	761	向左开
143	760	向左开
144	758	向左开
145	757	向左开
146	755	向左开
147	754	向左开
148	752	向左开
149	751	向左开
150	749	向左开
151	748	向左开
152	746	向左开
153	745	向左开
154	743	向左开
155	742	向左开
156	740	向左开
157	739	向左开
158	737	向左开
159	736	向左开
160	734	向左开
161	733	向左开
162	731	向左开
163	730	向左开
164	728	向左开
165	727	向左开
166	725	向左开
167	724	向左开
168	722	向左开
169	721	向左开
170	719	向左开
171	718	向左开
172	716	向左开
173	715	向左开
174	713	向左开
175	712	向左开
176	710	向左开
177	709	向左开
178	707	向左开
179	706	向左开
180	704	向左开
181	703	向左开
182	701	向左开
183	700	向左开
184	698	向左开
185	697	向左开
186	695	向左开
187	694	向左开
188	692	向左开
189	691	向左开
190	689	向左开
191	688	向左开
192	686	向左开
193	685	向左开
194	683	向左开
195	682	向左开
196	680	向左开
197	679	向左开
198	677	向左开
199	676	向左开
200	674	向左开
201	673	向左开
202	671	向左开
203	670	向左开
204	668	向左开
205	667	向左开
206	665	向左开
207	664	向左开
